단어/문형,뜻(영어),난이도
-아요,Formal polite ending (after ㅏ/ㅗ vowel),Beginner
-어요,Formal polite ending (after vowels except ㅏ/ㅗ),Beginner
-해요,Haeyo casual polite ending (하다 verbs),Beginner
-이에요 / 예요,To be (polite copula),Beginner
-고 싶다,Want to do (speaker desire),Beginner
-(으)ㄹ 거예요,Will / going to do (future plan),Beginner
-고 있다,To be doing (present progressive),Beginner
-아/어 보다,Try doing something,Beginner
-아/어 주다,Do something for someone,Beginner
-(으)러 가다,Go (in order) to do something,Beginner
-느라고,Because (subject was absorbed in action → negative result),Intermediate
-는 바람에,Because of unexpected / out-of-control situation → negative result,Intermediate
-아/어 가지고,After doing / resulting state,Intermediate
-게 되다,Come to do / end up doing (unintentional result),Intermediate
-(으)ㄹ 것 같다,It seems / I think (weak guess),Intermediate
-나 보다,Apparently / I can see that (observation-based guess),Intermediate
-겠군요,It must be / I see (strong conclusion),Intermediate
-(ㄴ/는)다니,Surprised reaction: "How can you...!?",Intermediate
-(으)잖아,As you know / you know that... (reminding listener),Intermediate
-네요!,Oh! It is... (mild surprised realization),Intermediate
-군요!,I see... (quiet realization, more formal than 네요),Intermediate
-는 중이다,In the middle of doing (emphasize ongoing),Intermediate
-마저,Even (last thing in bad chain),Intermediate
-까지,Even / up to (inclusive end point),Intermediate
-(으)ㄹ 만하다,Worth doing / sufficient to do,Advanced
-(이)라는 듯이,As if / as though,Advanced
-(으)ㄹ 따름이다,It's nothing but / only,Advanced
-는 통에,Because of (continuous messy situation),Advanced
-(ㄴ/은) 데다가,Moreover / on top of (adding fact),Advanced
-(으)ㅂ니다까,Hapsyo-che highest formal (army/court),Advanced
-(느)냐고 묻다,Ask if/whether (indirect question),Advanced
-(이)라고 하더라도,Even if someone says / even assuming,Advanced
-는/ㄴ/던/ㄹ 관형사,Attributive adjectival endings by tense,Advanced
